300.,0.261,0.059,0.096
301.,0.238,0.052,0.087
302.,0.216,0.050,0.080
303.,0.195,0.046,0.074
304.,0.177,0.044,0.067
305.,0.160,0.039,0.061
306.,0.147,0.036,0.058
307.,0.135,0.034,0.054
308.,0.128,0.033,0.053
309.,0.118,0.030,0.049
310.,0.112,0.030,0.049
311.,0.108,0.029,0.047
312.,0.101,0.027,0.046
313.,0.097,0.027,0.045
314.,0.094,0.027,0.044
315.,0.091,0.026,0.045
316.,0.087,0.026,0.044
317.,0.084,0.025,0.042
318.,0.082,0.025,0.041
319.,0.080,0.025,0.040
320.,0.079,0.024,0.039
321.,0.077,0.025,0.038
322.,0.074,0.024,0.035
323.,0.073,0.024,0.035
324.,0.072,0.023,0.035
325.,0.071,0.023,0.035
326.,0.069,0.023,0.032
327.,0.068,0.023,0.032
328.,0.067,0.024,0.032
329.,0.065,0.022,0.030
330.,0.064,0.022,0.031
331.,0.064,0.022,0.030
332.,0.061,0.022,0.030
333.,0.061,0.023,0.032
334.,0.062,0.024,0.031
335.,0.060,0.022,0.030
336.,0.060,0.024,0.032
337.,0.061,0.024,0.032
338.,0.059,0.024,0.033
339.,0.060,0.023,0.033
340.,0.060,0.025,0.035
341.,0.060,0.024,0.035
342.,0.060,0.025,0.036
343.,0.060,0.024,0.036
344.,0.060,0.025,0.037
345.,0.061,0.025,0.040
346.,0.062,0.025,0.041
347.,0.062,0.025,0.043
348.,0.062,0.023,0.044
349.,0.061,0.023,0.047
350.,0.063,0.022,0.049
351.,0.062,0.019,0.048
352.,0.065,0.022,0.051
353.,0.071,0.023,0.057
354.,0.068,0.023,0.054
355.,0.068,0.020,0.056
356.,0.071,0.019,0.059
357.,0.074,0.021,0.062
358.,0.076,0.021,0.065
359.,0.078,0.019,0.066
360.,0.078,0.022,0.068
361.,0.082,0.020,0.072
362.,0.083,0.019,0.073
363.,0.085,0.019,0.076
364.,0.089,0.019,0.080
365.,0.092,0.019,0.081
366.,0.095,0.017,0.084
367.,0.099,0.016,0.088
368.,0.101,0.017,0.091
369.,0.106,0.016,0.092
370.,0.110,0.015,0.096
371.,0.116,0.016,0.098
372.,0.120,0.015,0.100
373.,0.125,0.014,0.101
374.,0.131,0.014,0.108
375.,0.137,0.014,0.110
376.,0.143,0.014,0.112
377.,0.151,0.015,0.116
378.,0.158,0.014,0.117
379.,0.167,0.015,0.122
380.,0.174,0.014,0.125
381.,0.182,0.014,0.127
382.,0.191,0.014,0.130
383.,0.201,0.014,0.132
384.,0.210,0.014,0.135
385.,0.219,0.014,0.136
386.,0.230,0.014,0.139
387.,0.241,0.015,0.143
388.,0.251,0.015,0.144
389.,0.262,0.015,0.147
390.,0.273,0.015,0.148
391.,0.286,0.014,0.151
392.,0.298,0.015,0.154
393.,0.311,0.015,0.156
394.,0.325,0.015,0.158
395.,0.339,0.015,0.160
396.,0.354,0.015,0.162
397.,0.369,0.016,0.165
398.,0.385,0.016,0.165
399.,0.402,0.016,0.167
400.,0.419,0.016,0.168
401.,0.436,0.017,0.168
402.,0.455,0.017,0.170
403.,0.473,0.017,0.170
404.,0.490,0.017,0.171
405.,0.509,0.018,0.173
406.,0.527,0.018,0.173
407.,0.545,0.018,0.174
408.,0.562,0.019,0.176
409.,0.580,0.019,0.177
410.,0.597,0.018,0.178
411.,0.614,0.018,0.180
412.,0.630,0.018,0.182
413.,0.647,0.019,0.184
414.,0.663,0.018,0.186
415.,0.680,0.019,0.188
416.,0.698,0.019,0.190
417.,0.716,0.019,0.193
418.,0.735,0.020,0.197
419.,0.754,0.020,0.199
420.,0.772,0.021,0.203
421.,0.793,0.020,0.205
422.,0.813,0.021,0.208
423.,0.834,0.021,0.211
424.,0.855,0.021,0.215
425.,0.876,0.022,0.218
426.,0.896,0.022,0.222
427.,0.916,0.022,0.225
428.,0.933,0.023,0.230
429.,0.949,0.023,0.235
430.,0.965,0.024,0.241
431.,0.976,0.024,0.246
432.,0.986,0.024,0.252
433.,0.994,0.025,0.258
434.,0.998,0.026,0.266
435.,1.000,0.027,0.274
436.,1.000,0.027,0.283
437.,0.997,0.028,0.292
438.,0.994,0.029,0.302
439.,0.990,0.031,0.314
440.,0.984,0.032,0.325
441.,0.979,0.034,0.337
442.,0.973,0.035,0.350
443.,0.968,0.037,0.363
444.,0.965,0.039,0.377
445.,0.962,0.040,0.392
446.,0.960,0.043,0.407
447.,0.959,0.046,0.423
448.,0.960,0.048,0.439
449.,0.960,0.051,0.456
450.,0.962,0.054,0.473
451.,0.962,0.057,0.490
452.,0.962,0.061,0.508
453.,0.960,0.064,0.525
454.,0.956,0.066,0.543
455.,0.949,0.070,0.561
456.,0.940,0.073,0.579
457.,0.926,0.076,0.595
458.,0.908,0.080,0.612
459.,0.885,0.084,0.628
460.,0.857,0.088,0.644
461.,0.825,0.093,0.660
462.,0.788,0.098,0.674
463.,0.747,0.103,0.689
464.,0.703,0.108,0.702
465.,0.656,0.115,0.715
466.,0.608,0.121,0.728
467.,0.559,0.128,0.740
468.,0.512,0.136,0.752
469.,0.466,0.145,0.765
470.,0.421,0.155,0.777
471.,0.379,0.166,0.789
472.,0.340,0.178,0.802
473.,0.304,0.191,0.814
474.,0.272,0.206,0.829
475.,0.243,0.220,0.842
476.,0.217,0.235,0.856
477.,0.193,0.251,0.871
478.,0.173,0.265,0.885
479.,0.155,0.281,0.900
480.,0.138,0.294,0.915
481.,0.124,0.307,0.929
482.,0.111,0.318,0.944
483.,0.099,0.327,0.957
484.,0.089,0.335,0.969
485.,0.079,0.341,0.979
486.,0.070,0.347,0.989
487.,0.061,0.351,0.994
488.,0.054,0.354,0.998
489.,0.048,0.358,1.000
490.,0.042,0.362,0.997
491.,0.037,0.367,0.991
492.,0.033,0.373,0.980
493.,0.028,0.379,0.964
494.,0.025,0.388,0.944
495.,0.022,0.398,0.919
496.,0.018,0.409,0.890
497.,0.016,0.422,0.856
498.,0.014,0.438,0.819
499.,0.012,0.456,0.778
500.,0.012,0.476,0.735
501.,0.010,0.500,0.687
502.,0.010,0.527,0.640
503.,0.008,0.557,0.591
504.,0.009,0.592,0.543
505.,0.007,0.629,0.493
506.,0.007,0.671,0.446
507.,0.006,0.715,0.400
508.,0.006,0.761,0.355
509.,0.006,0.809,0.314
510.,0.006,0.855,0.275
511.,0.006,0.899,0.238
512.,0.005,0.937,0.204
513.,0.006,0.969,0.175
514.,0.005,0.990,0.147
515.,0.005,1.000,0.123
516.,0.005,0.996,0.101
517.,0.005,0.977,0.084
518.,0.005,0.944,0.069
519.,0.004,0.898,0.055
520.,0.004,0.842,0.045
521.,0.004,0.776,0.036
522.,0.005,0.706,0.031
523.,0.005,0.633,0.026
524.,0.005,0.562,0.021
525.,0.005,0.492,0.018
526.,0.005,0.426,0.016
527.,0.005,0.366,0.014
528.,0.005,0.310,0.012
529.,0.005,0.262,0.011
530.,0.005,0.220,0.009
531.,0.004,0.182,0.008
532.,0.003,0.150,0.007
533.,0.003,0.123,0.006
534.,0.003,0.101,0.006
535.,0.003,0.082,0.005
536.,0.003,0.067,0.005
537.,0.003,0.055,0.005
538.,0.003,0.045,0.005
539.,0.003,0.037,0.005
540.,0.004,0.031,0.004
541.,0.004,0.026,0.005
542.,0.005,0.021,0.006
543.,0.004,0.018,0.005
544.,0.005,0.015,0.005
545.,0.005,0.013,0.005
546.,0.005,0.011,0.005
547.,0.005,0.009,0.006
548.,0.005,0.008,0.006
549.,0.005,0.007,0.006
550.,0.005,0.006,0.006
551.,0.004,0.005,0.005
552.,0.004,0.005,0.005
553.,0.003,0.003,0.004
554.,0.003,0.003,0.004
555.,0.003,0.002,0.004
556.,0.002,0.002,0.004
557.,0.003,0.001,0.004
558.,0.003,0.001,0.005
559.,0.003,0.001,0.004
560.,0.004,0.002,0.005
561.,0.003,0.002,0.004
562.,0.003,0.001,0.004
563.,0.003,0.002,0.004
564.,0.003,0.001,0.004
565.,0.003,0.002,0.004
566.,0.004,0.002,0.005
567.,0.003,0.001,0.004
568.,0.003,0.001,0.004
569.,0.003,0.001,0.003
570.,0.003,0.001,0.004
571.,0.003,0.001,0.004
572.,0.004,0.001,0.005
573.,0.003,0.001,0.004
574.,0.003,0.001,0.004
575.,0.003,0.001,0.005
576.,0.003,0.002,0.005
577.,0.004,0.002,0.005
578.,0.003,0.001,0.004
579.,0.004,0.002,0.005
580.,0.003,0.002,0.004
581.,0.003,0.002,0.004
582.,0.004,0.001,0.004
583.,0.003,0.001,0.004
584.,0.003,0.001,0.005
585.,0.004,0.001,0.004
586.,0.003,0.001,0.004
587.,0.003,0.002,0.004
588.,0.004,0.002,0.005
589.,0.004,0.001,0.004
590.,0.003,0.002,0.004
591.,0.003,0.002,0.004
592.,0.003,0.002,0.004
593.,0.003,0.002,0.004
594.,0.003,0.002,0.005
595.,0.003,0.002,0.004
596.,0.003,0.001,0.003
597.,0.003,0.001,0.003
598.,0.003,0.001,0.003
599.,0.002,0.001,0.004
600.,0.003,0.002,0.004
601.,0.002,0.001,0.003
602.,0.002,0.001,0.003
603.,0.002,0.001,0.003
604.,0.003,0.002,0.003
605.,0.002,0.001,0.003
606.,0.003,0.001,0.004
607.,0.003,0.002,0.004
608.,0.003,0.002,0.004
609.,0.002,0.002,0.004
610.,0.004,0.003,0.005
611.,0.003,0.002,0.003
612.,0.003,0.002,0.004
613.,0.003,0.002,0.004
614.,0.003,0.003,0.004
615.,0.003,0.002,0.004
616.,0.003,0.002,0.004
617.,0.003,0.002,0.004
618.,0.003,0.002,0.004
619.,0.004,0.002,0.005
620.,0.003,0.002,0.004
621.,0.003,0.002,0.004
622.,0.002,0.001,0.003
623.,0.003,0.002,0.004
624.,0.002,0.001,0.003
625.,0.002,0.002,0.003
626.,0.002,0.002,0.003
627.,0.002,0.002,0.003
628.,0.003,0.002,0.004
629.,0.003,0.002,0.004
630.,0.003,0.002,0.004
631.,0.003,0.002,0.004
632.,0.003,0.003,0.005
633.,0.002,0.002,0.003
634.,0.002,0.002,0.003
635.,0.002,0.002,0.003
636.,0.002,0.002,0.003
637.,0.001,0.001,0.003
638.,0.001,0.001,0.002
639.,0.001,0.001,0.002
640.,0.002,0.001,0.003
641.,0.001,0.001,0.002
642.,0.002,0.002,0.003
643.,0.002,0.001,0.002
644.,0.002,0.002,0.002
645.,0.002,0.002,0.002
646.,0.002,0.001,0.002
647.,0.002,0.002,0.003
648.,0.002,0.002,0.003
649.,0.002,0.002,0.003
650.,0.003,0.002,0.004
651.,0.002,0.002,0.003
652.,0.003,0.003,0.004
653.,0.002,0.002,0.003
654.,0.003,0.002,0.004
655.,0.002,0.002,0.003
656.,0.002,0.003,0.003
657.,0.002,0.002,0.003
658.,0.003,0.003,0.003
659.,0.003,0.002,0.004
660.,0.002,0.002,0.003
661.,0.002,0.002,0.003
662.,0.003,0.003,0.003
663.,0.002,0.002,0.003
