500.12,0.00290623,0.00145912,0.000165752,-1.26E-05
500.57,0.00305321,0.00146589,0.000150295,5.32E-05
501.02,0.00295713,0.00148898,0.000142984,-6.79E-05
501.47,0.00297386,0.00148898,1.42E-05,2.34E-06
501.92,0.00299921,0.00138209,1.41E-06,5.06E-05
502.38,0.00302318,0.0013789,-1.46E-05,-6.81E-05
502.83,0.00288972,0.0013369,-2.79E-05,6.38E-05
503.28,0.00295215,0.00130028,-4.37E-05,6.57E-05
503.73,0.00298596,0.00132536,-4.84E-05,5.39E-05
504.18,0.00303386,0.0012746,-5.04E-05,-2.33E-06
504.63,0.0029317,0.00126146,-6.35E-05,-9.75E-06
505.09,0.00298969,0.00126305,-0.000212767,-6.54E-07
505.54,0.00305181,0.00122643,-0.000229202,5.00E-05
505.99,0.00284516,0.00120393,-0.000242452,-5.99E-05
506.44,0.00288419,0.00117567,-0.000256015,4.51E-05
506.89,0.00296327,0.00119358,-0.000252497,3.15E-05
507.34,0.00299075,0.00121189,-0.000242934,-1.90E-05
507.79,0.00290815,0.00124912,-0.000253807,1.62E-05
508.25,0.00280985,0.00126166,-0.000134727,-1.31E-05
508.7,0.00282845,0.00124753,-0.000142856,-5.55E-05
509.15,0.00283842,0.00126584,-0.000136366,4.66E-05
509.6,0.00284262,0.00129251,-0.000115917,-1.15E-05
510.05,0.00277114,0.00129311,-9.27E-05,6.49E-05
510.5,0.00279806,0.00134606,-7.21E-05,-1.87E-05
510.95,0.00280208,0.00137273,-7.76E-05,3.87E-05
511.4,0.00282888,0.00130625,-7.75E-05,-5.17E-05
511.85,0.00280966,0.00125648,-6.03E-05,-5.19E-05
512.31,0.00283199,0.00129271,-5.71E-05,-2.03E-06
512.76,0.00283278,0.0013582,-6.00E-05,3.55E-05
513.21,0.00284493,0.00126763,-2.57E-05,1.99E-05
513.66,0.00286272,0.00125828,0.000107412,-7.54E-06
514.11,0.00284035,0.00124255,0.000107186,4.91E-05
514.56,0.0028353,0.00120214,0.000112617,-3.47E-05
515.01,0.00294294,0.00112351,0.000123705,2.48E-05
515.46,0.00292051,0.00115277,0.000115155,4.09E-05
515.91,0.00295825,0.00116432,0.000100426,2.69E-05
516.36,0.00321583,0.00116273,0.000111347,1.29E-05
516.81,0.00326487,0.00106798,0.000125069,-4.91E-05
517.26,0.00330528,0.0011251,9.33E-05,6.81E-05
517.71,0.00344124,0.00107952,6.40E-05,-1.52E-05
518.17,0.00347729,0.00107534,-7.83E-05,3.98E-05
518.62,0.0036274,0.00111834,-0.000104931,5.69E-05
519.07,0.0036847,0.00120015,-0.000114337,3.04E-05
519.52,0.00387195,0.00120393,-0.000109095,6.59E-05
519.97,0.00391498,0.00114262,-0.000101475,4.97E-05
520.42,0.00396949,0.0011693,-0.000119616,-2.98E-05
